stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
10120,180658,"Rua Luís Casagrande, 363 - Cidade Industrial",861 - Tramontina (Ponto Final).,-25.463081021666,-49.349083560119,,,0,,,
10151,180578,"Rua Deputado Nilson Ribas, 597 - Seminário",865 - Jd. Esplanada (Ponto Final).,-25.444502,-49.3112028,,,0,,,
10320,101004,Praça Tiradentes - 876 - Savóia,Praça Tiradentes 876 - Savóia .,-25.430119444658,-49.272456604299,,,0,,,
10454,190324,"Rua José Culpi, 693 - Butiatuvinha",912 - José Culpi (Ponto Final).,-25.3961654,-49.3583409,,,0,,,
10484,190399,"Estrada Ângelo Pianaro, 1804 - Butiatuvinha",913 - Butiatuvinha (Ponto Final),-25.399340893476,-49.365383687732,,,0,,,
10562,190451,"Rua Vanda Wolf, 1575 - Santa Felicidade",916 - Pinheiros (Ponto Final) 917 - Jd. Ipê (Sentido Jardim Ipê) 989 - Madrugueiro Santa Felicidade (Sentido Santa Felicidade),-25.372273111417,-49.330314811045,,,0,,,
10588,190450,"Rua Doutor Eugênio Bertolli, 28 - Santa Felicidade",917 - Jardim Ipê (Ponto Final),-25.368758499469,-49.326577945404,,,0,,,
10618,190344,"Rua José Bepe Luca, 1 - São Braz",918 - Veneza (Ponto Final).,-25.421282806179,-49.342808454457,,,0,,,
10811,190539,"Rua Itália Giampoli Amatuzzi, 4 - Vista Alegre",967 - Julio Graf (Ponto Final),-25.399082273762,-49.298941101852,,,0,,,
10840,190526,Rua José Casagrande 802 Curitiba - PR,Ponto de Parada 967 - Julio Graf (Sentido Pça. Tiradentes) 968 - Especial Trombini (Ponto Final),-25.409815845474,-49.303871184061,,,0,,,
10898,110158,"Rua Visconde de Nácar, 1224 - Centro",Ponto de Parada 385 - Cristo Rei (Sentido Praça Rui Barbosa) 989 - Madrugueiro Santa Felicidade (Sentido Praça Rui Barbosa),-25.435052433136,-49.275875855623,,,0,,,
10899,110094,"Av. Sete de Setembro, 2787 - Rebouças",Ponto de Parada 002 - Circular Centro (Sentido Anti-horário) 979 - Linha Turismo (Sentido Teatro Paiol) E64 - Aeroporto Executivo (Sentido Aeroporto),-25.437524669888,-49.266091491988,,,0,,,
10906,120573,"Rua Mateus Leme, 2081 - São Francisco (Bosque do Papa)",Ponto de Parada 979 - Linha Turismo (Sentido Bosque Alemão),-25.409001851992,-49.271733350699,,,0,,,
10908,120543,"Rua Victor Benato, 283 - Pilarzinho (Universidade Livre do Meio Ambiente)",Ponto de Parada 979 - Linha Turismo (Sentido Parque São Lourenço),-25.398618570942,-49.282371829869,,,0,,,
14298,140763,"Rua Zacarias Alves de Souza,600 - Uberaba",188 - Madrugueiro Pilarzinho / Uberaba (Sentido Pilarzinho) 338 - Centenário / Hauer (Sentido Hauer) 468 - Jd. Centauro (Sentido Praça Rui Barbosa) 474 - Jd. Itibere (Sentido Praça Rui Barbosa) X14 - Reforço Hauer (Ponto Final),-25.492461684207,-49.20777155124,,,0,,,
14326,109059,Estação Tubo PUC,Estação Tubo PUC - Sentido Aeroporto/ Rodoferroviária,-25.453395779718,-49.252650888325,,,0,26033,,
14404,140256,"Rua Vicente de Carvalho, 230 - Cajuru",Z03 - Vic. de Carvalho/C. da Imbuia (Ponto Final) 050-Interbairros V (Sentido Terminal Oficinas),-25.452238019421,-49.224005114418,,,0,,,
14415,null,Estação Tubo Santa Quitéria,,-25.459127575972,-49.30243629633,,,1,,,
14432,null,Estação Tubo Mercês,,-25.422391025401,-49.291634507726,,,1,,,
14434,null,Estação Tubo Centro Cívico - Palácio Iguaçú,,-25.415392265191,-49.267910368989,,,1,,,
